iter	Logloss
0	0.6885032822
1	0.6840561549
2	0.6798197614
3	0.67578051
4	0.6721254148
5	0.6686710149
6	0.6656612323
7	0.6626290652
8	0.6598907887
9	0.6570393252
10	0.6544366883
11	0.6520447203
12	0.6496401673
13	0.6474929716
14	0.6453588038
15	0.6434396046
16	0.641531384
17	0.6402272857
18	0.6386211662
19	0.6370235556
20	0.6358573111
21	0.6345119036
22	0.6331676996
23	0.6318734043
24	0.6306267503
25	0.6297158924
26	0.6286446198
27	0.6275288268
28	0.626632056
29	0.6256684109
30	0.6247609862
31	0.6239236084
32	0.6231056408
33	0.6222915847
34	0.6214015567
35	0.6206856199
36	0.6200459289
37	0.6193601949
38	0.6187821507
39	0.618207003
40	0.6176419806
41	0.6172482636
42	0.6167196671
43	0.6162002716
44	0.6157118816
45	0.615275559
46	0.6148407032
47	0.6143167854
48	0.6140641821
49	0.6137946646
50	0.6134350973
51	0.6129906261
52	0.6125496878
53	0.6122307618
54	0.6119343305
55	0.6115815192
56	0.6113286565
57	0.6109455747
58	0.6106118137
59	0.6104797092
60	0.6101416682
61	0.6098777507
62	0.6095808699
63	0.6092447919
64	0.6089818138
65	0.6087955613
66	0.6084646844
67	0.6082859408
68	0.6080377423
69	0.6077745462
70	0.6074942586
71	0.6072836511
72	0.607170426
73	0.6069532769
74	0.6067384369
75	0.6065025909
76	0.6062829879
77	0.6060543843
78	0.6058968259
79	0.6056344733
80	0.6053558816
81	0.6052037666
82	0.6050121592
83	0.6048263099
84	0.6045973745
85	0.6043902047
86	0.6041856362
87	0.6039923802
88	0.6037680854
89	0.6035715606
90	0.6033838829
91	0.6032541227
92	0.6030812307
93	0.6029384661
94	0.6028088988
95	0.6026117327
96	0.6025800621
97	0.6024262636
98	0.6022822662
99	0.6021532546
100	0.6019799512
101	0.6019622901
102	0.6017995919
103	0.601563879
104	0.6015140983
105	0.6013866485
106	0.6011803987
107	0.6010439462
108	0.6008343968
109	0.6006990003
110	0.6004937561
111	0.6003475149
112	0.600137197
113	0.6000891696
114	0.5999454483
115	0.5998308261
