iter	Passed	Remaining
0	109	109158
1	134	66889
2	158	52651
3	182	45493
4	203	40594
5	224	37118
6	247	35070
7	267	33115
8	291	32081
9	313	31009
10	335	30200
11	355	29233
12	378	28749
13	403	28404
14	425	27925
15	442	27215
16	466	26980
17	474	25894
18	496	25618
19	527	25851
20	552	25773
21	600	26713
22	638	27119
23	676	27514
24	705	27499
25	723	27102
26	744	26819
27	764	26533
28	782	26202
29	803	25985
30	821	25691
31	842	25482
32	864	25329
33	886	25183
34	907	25026
35	927	24830
36	947	24650
37	967	24493
38	990	24413
39	1008	24202
40	1026	24010
41	1039	23709
42	1060	23593
43	1080	23486
44	1103	23427
45	1126	23372
46	1147	23260
47	1175	23322
48	1201	23319
49	1220	23184
50	1260	23448
51	1296	23632
52	1333	23824
53	1355	23753
54	1386	23828
55	1413	23832
56	1443	23886
57	1488	24181
58	1538	24541
59	1557	24400
60	1585	24413
61	1606	24309
62	1629	24242
63	1650	24144
64	1675	24099
65	1701	24075
66	1731	24113
67	1759	24113
68	1786	24108
69	1807	24017
70	1834	24008
71	1860	23977
72	1871	23770
73	1892	23682
74	1914	23614
75	1941	23602
76	1965	23557
77	1988	23499
78	2009	23430
79	2030	23345
80	2055	23319
81	2076	23250
82	2098	23184
83	2120	23127
84	2145	23094
85	2167	23036
86	2191	22996
87	2212	22924
88	2235	22877
89	2256	22813
90	2276	22738
91	2298	22685
92	2319	22619
93	2340	22553
94	2360	22490
95	2382	22434
96	2390	22249
97	2411	22195
98	2437	22186
99	2459	22132
100	2478	22057
101	2485	21885
102	2511	21868
103	2537	21861
104	2550	21742
105	2573	21702
106	2596	21669
107	2627	21703
108	2655	21709
109	2682	21703
110	2708	21691
111	2732	21664
112	2758	21653
113	2779	21599
114	2800	21548
115	2824	21522
116	2846	21480
117	2871	21460
118	2880	21327
119	2903	21293
120	2927	21264
121	2954	21259
122	2975	21217
123	3003	21217
124	3025	21176
125	3047	21142
126	3070	21107
127	3080	20988
128	3101	20940
129	3114	20845
130	3136	20806
131	3154	20742
132	3175	20699
133	3196	20655
134	3218	20623
135	3242	20597
136	3267	20583
137	3288	20539
138	3312	20516
139	3336	20497
140	3360	20470
141	3377	20405
142	3398	20369
143	3423	20353
144	3430	20230
145	3453	20202
146	3477	20180
147	3500	20149
148	3519	20103
149	3540	20060
150	3548	19951
151	3569	19913
152	3591	19883
153	3613	19849
154	3638	19834
155	3657	19790
156	3677	19746
157	3704	19739
158	3724	19700
159	3736	19617
160	3743	19505
161	3764	19473
162	3784	19430
163	3792	19332
164	3814	19304
165	3835	19269
166	3855	19230
167	3875	19195
168	3896	19160
169	3926	19168
170	3949	19144
171	3971	19119
172	3995	19099
173	4020	19084
174	4043	19060
175	4067	19044
176	4081	18977
177	4102	18947
178	4125	18922
179	4146	18890
180	4172	18878
181	4192	18844
182	4218	18832
183	4240	18805
184	4248	18716
185	4255	18625
186	4277	18597
187	4299	18570
188	4322	18548
189	4343	18516
190	4365	18491
191	4390	18474
192	4414	18457
193	4435	18426
194	4457	18402
195	4476	18361
196	4498	18335
197	4505	18250
198	4532	18241
199	4539	18156
200	4561	18132
201	4581	18100
202	4602	18069
203	4624	18045
204	4646	18017
205	4654	17941
206	4673	17905
207	4693	17873
208	4712	17835
209	4732	17804
210	4753	17773
211	4774	17746
212	4795	17716
213	4814	17683
214	4833	17648
215	4853	17615
216	4862	17546
217	4888	17534
218	4910	17511
219	4930	17480
220	4952	17457
221	4971	17424
222	4990	17387
223	5013	17367
224	5036	17346
225	5056	17318
226	5064	17246
227	5090	17235
228	5116	17225
229	5124	17154
230	5146	17132
231	5168	17108
232	5189	17083
233	5211	17058
234	5242	17065
235	5249	16994
236	5267	16957
237	5292	16944
238	5318	16935
239	5331	16882
240	5352	16856
241	5373	16831
242	5394	16804
243	5411	16766
244	5432	16740
245	5451	16710
246	5473	16686
247	5480	16617
248	5503	16600
249	5535	16606
250	5566	16609
251	5576	16551
252	5599	16531
253	5622	16514
254	5648	16503
255	5667	16471
256	5690	16452
257	5712	16428
258	5731	16398
259	5753	16375
260	5772	16344
261	5791	16314
262	5815	16297
263	5837	16275
264	5859	16251
265	5881	16230
266	5904	16209
267	5924	16181
268	5944	16154
269	5964	16125
270	5986	16103
271	6010	16085
272	6034	16070
273	6055	16045
274	6076	16019
275	6097	15994
276	6122	15979
277	6143	15955
278	6163	15928
279	6184	15902
280	6201	15868
281	6224	15847
282	6245	15824
283	6268	15803
284	6290	15780
285	6311	15756
286	6331	15730
287	6358	15720
288	6378	15693
289	6398	15664
290	6422	15648
291	6443	15623
292	6464	15598
293	6488	15581
294	6517	15575
295	6542	15560
296	6564	15537
297	6586	15515
298	6605	15486
299	6629	15468
300	6651	15445
301	6672	15421
302	6691	15392
303	6710	15362
304	6730	15335
305	6749	15308
306	6769	15280
307	6776	15224
308	6797	15201
309	6817	15173
310	6838	15150
311	6861	15129
312	6883	15107
313	6901	15078
314	6921	15051
315	6941	15026
316	6963	15002
317	6983	14977
318	7021	14990
319	7048	14977
320	7075	14966
321	7102	14955
322	7131	14948
323	7156	14931
324	7179	14910
325	7203	14894
326	7231	14883
327	7267	14889
328	7297	14882
329	7319	14861
330	7344	14844
331	7368	14825
332	7393	14808
333	7420	14797
334	7445	14779
335	7469	14760
336	7491	14737
337	7518	14725
338	7545	14713
339	7570	14696
340	7601	14689
341	7640	14699
342	7670	14691
343	7692	14668
344	7716	14650
345	7738	14626
346	7762	14608
347	7784	14584
348	7804	14557
