stage,label,precision,recall,f1-score,support
stage1_booking,show,0.8631569538791563,0.7522785697592895,0.8039125910509886,12837.0
stage1_booking,no_show,0.401355421686747,0.582036582036582,0.4750974930362117,3663.0
stage1_booking,accuracy,0.7144848484848485,0.7144848484848485,0.7144848484848485,0.7144848484848485
stage1_booking,macro avg,0.6322561877829516,0.6671575758979358,0.6395050420436001,16500.0
stage1_booking,weighted avg,0.7606370137324413,0.7144848484848485,0.7309156392917081,16500.0
stage2_pre_appointment,show,0.8631902860944777,0.8085222403988471,0.8349623908933671,12837.0
stage2_pre_appointment,no_show,0.45084897229669346,0.5509145509145509,0.4958840152352869,3663.0
stage2_pre_appointment,accuracy,0.7513333333333333,0.7513333333333333,0.7513333333333333,0.7513333333333333
stage2_pre_appointment,macro avg,0.6570196291955855,0.679718395656699,0.665423203064327,16500.0
stage2_pre_appointment,weighted avg,0.7716505144313696,0.7513333333333333,0.7596869914972734,16500.0
