feature,importance
same_day_flag,19.620971128094165
lead_time_days,11.765844222961954
specialty,10.615671228012873
prior_no_show_ratio,9.570585983287652
confirmation_status,6.5015383167553615
cancellation_history_ratio,5.399118299527089
treatment_stage,5.388707457364279
deposit_paid,4.326404559081568
travel_time_minutes,4.115628453721312
whatsapp_engagement,3.151761717323452
vip_status,2.793181699965756
time_of_day,2.7784314099265166
consecutive_no_show_streak,2.5867763683504252
age,2.4784100094920305
provider_effect,2.245724428787104
new_patient,2.187691855007143
neighbourhood_ns_rate,1.9131284355254614
urgency_score,1.5791771172493607
day_of_week,0.9812473095664782
