feature,mean,std,min,max
prior_no_show_ratio,0.17263310636363635,0.14311432189482412,0.0,0.9026
consecutive_no_show_streak,0.18938181818181818,0.48657462025597825,0.0,6.0
lead_time_days,11.5389,9.233301783495843,0.0,87.0
same_day_flag,0.1018,0.30238649316864263,0.0,1.0
age,36.49207272727273,12.08852845392101,18.0,80.0
deposit_paid,0.38288181818181816,0.48609204842027326,0.0,1.0
travel_time_minutes,22.688500909090905,9.399841682333882,3.0,63.4
cancellation_history_ratio,0.14274001181818183,0.08820948500531044,0.0003,0.5888
vip_status,0.08977272727272727,0.2858571803685665,0.0,1.0
new_patient,0.2802272727272727,0.44911221537570206,0.0,1.0
urgency_score,5.678236363636364,2.3123715589230267,1.0,10.0
neighbourhood_ns_rate,0.09248739636363637,0.03790360333427948,0.0502,0.2264
provider_effect,-0.004170928181818182,0.046259689589426806,-0.1,0.1
no_show,0.22025454545454545,0.41442012737152323,0.0,1.0
